"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"entrezgene"	"ensembl_gene_id"
"3822"	"chr17"	36908989	36920484	11496	"+"	"PSMB3"	5691	"ENSG00000108294"
"3823"	"chr1"	151372010	151374420	2411	"+"	"PSMB4"	5692	"ENSG00000159377"
"3824"	"chr14"	23485752	23504439	18688	"-"	"PSMB5"	5693	"ENSG00000100804"
"3825"	"chr17"	4699439	4701790	2352	"+"	"PSMB6"	5694	"ENSG00000142507"
"3826"	"chr9"	127115745	127177723	61979	"-"	"PSMB7"	5695	"ENSG00000136930"
"3827"	"chr6"	32808494	32812480	3987	"-"	"PSMB8"	5696	"ENSG00000204264"
"3828"	"chr17"	42030106	42081837	51732	"-"	"PYY"	5697	"ENSG00000131096"
"3829"	"chr6"	32811913	32827362	15450	"+"	"PSMB9"	5698	"ENSG00000240065"
"3830"	"chr16"	67968405	67970990	2586	"-"	"PSMB10"	5699	"ENSG00000205220"
"3831"	"chr14"	90722839	90738968	16130	"+"	"PSMC1"	5700	"ENSG00000100764"
"3832"	"chr7"	102984701	103009842	25142	"+"	"PSMC2"	5701	"ENSG00000161057"
"3833"	"chr11"	47440320	47447993	7674	"-"	"PSMC3"	5702	"ENSG00000165916"
"3834"	"chr19"	40476912	40487348	10437	"+"	"PSMC4"	5704	"ENSG00000013275"
"3835"	"chr17"	61904512	61909379	4868	"+"	"PSMC5"	5705	"ENSG00000087191"
"3836"	"chr14"	53173890	53195305	21416	"+"	"PSMC6"	5706	"ENSG00000100519"
"3837"	"chr2"	231921578	232037541	115964	"+"	"PSMD1"	5707	"ENSG00000173692"
"3838"	"chr3"	184016497	184026842	10346	"+"	"PSMD2"	5708	"ENSG00000175166"
"3839"	"chr17"	38137050	38154213	17164	"+"	"PSMD3"	5709	"ENSG00000108344"
"3840"	"chr1"	151227179	151239955	12777	"+"	"PSMD4"	5710	"ENSG00000159352"
"3841"	"chr9"	123577774	123605262	27489	"-"	"PSMD5"	5711	"ENSG00000095261"
"3842"	"chr16"	74330673	74340186	9514	"+"	"PSMD7"	5713	"ENSG00000103035"
"3843"	"chr19"	38865176	38874464	9289	"+"	"PSMD8"	5714	"ENSG00000099341"
"3844"	"chr12"	122326637	122356203	29567	"+"	"PSMD9"	5715	"ENSG00000110801"
"3845"	"chrX"	107327437	107334848	7412	"-"	"PSMD10"	5716	"ENSG00000101843"
"3846"	"chr17"	30771279	30810336	39058	"+"	"PSMD11"	5717	"ENSG00000108671"
"3847"	"chr17"	65334032	65362743	28712	"-"	"PSMD12"	5718	"ENSG00000197170"
"3848"	"chr11"	236546	252983	16438	"+"	"PSMD13"	5719	"ENSG00000185627"
"3849"	"chr14"	24605367	24608176	2810	"+"	"PSME1"	5720	"ENSG00000092010"
"3850"	"chr14"	24612574	24616779	4206	"-"	"PSME2"	5721	"ENSG00000100911"
"3851"	"chr7"	56078744	56119297	40554	"-"	"PSPH"	5723	"ENSG00000146733"
"3852"	"chr1"	28473677	28520447	46771	"-"	"PTAFR"	5724	"ENSG00000169403"
"3853"	"chr19"	797075	812327	15253	"+"	"PTBP1"	5725	"ENSG00000011304"
"3854"	"chr7"	141672431	141673573	1143	"-"	"TAS2R38"	5726	"ENSG00000257138"
"3855"	"chr9"	98205262	98279339	74078	"-"	"PTCH1"	5727	"ENSG00000185920"
"3856"	"chr10"	89622870	89731687	108818	"+"	"PTEN"	5728	"ENSG00000171862"
"3857"	"chr14"	52734431	52743442	9012	"+"	"PTGDR"	5729	"ENSG00000168229"
"3858"	"chr9"	139871956	139879887	7932	"+"	"PTGDS"	5730	"ENSG00000107317"
"3859"	"chr19"	14583278	14586174	2897	"-"	"PTGER1"	5731	"ENSG00000160951"
"3860"	"chr14"	52781023	52795324	14302	"+"	"PTGER2"	5732	"ENSG00000125384"
"3861"	"chr1"	71318036	71513491	195456	"-"	"PTGER3"	5733	"ENSG00000050628"
"3862"	"chr5"	40679600	40693837	14238	"+"	"PTGER4"	5734	"ENSG00000171522"
"3863"	"chr1"	78769568	79005434	235867	"+"	"PTGFR"	5737	"ENSG00000122420"
"3864"	"chr1"	117452679	117532980	80302	"+"	"PTGFRN"	5738	"ENSG00000134247"
"3865"	"chr19"	47123725	47128375	4651	"-"	"PTGIR"	5739	"ENSG00000160013"
"3866"	"chr20"	48120411	48184683	64273	"-"	"PTGIS"	5740	"ENSG00000124212"
"3867"	"chr11"	13513602	13517728	4127	"-"	"PTH"	5741	"ENSG00000152266"
"3868"	"chr9"	125132824	125157982	25159	"+"	"PTGS1"	5742	"ENSG00000095303"
"3869"	"chr1"	186640923	186649559	8637	"-"	"PTGS2"	5743	"ENSG00000073756"
"3870"	"chr12"	28111017	28125638	14622	"-"	"PTHLH"	5744	"ENSG00000087494"
"3871"	"chr3"	46919236	46945287	26052	"+"	"PTH1R"	5745	"ENSG00000160801"
"3872"	"chr2"	209224438	209719227	494790	"+"	"PTH2R"	5746	"ENSG00000144407"
"3873"	"chr8"	141667999	142012315	344317	"-"	"PTK2"	5747	"ENSG00000169398"
"3874"	"chr20"	62159778	62168723	8946	"-"	"PTK6"	5753	"ENSG00000101213"
"3875"	"chr6"	43044006	43129457	85452	"+"	"PTK7"	5754	"ENSG00000112655"
"3876"	"chr12"	44187526	44200178	12653	"-"	"TWF1"	5756	"ENSG00000151239"
"3877"	"chr2"	232571605	232578251	6647	"+"	"PTMA"	5757	"ENSG00000187514"
"3878"	"chr12"	6874682	6880116	5435	"+"	"PTMS"	5763	"ENSG00000159335"
"3879"	"chr7"	136912088	137028611	116524	"-"	"PTN"	5764	"ENSG00000105894"
"3880"	"chr1"	180123969	180173165	49197	"+"	"QSOX1"	5768	"ENSG00000116260"
"3881"	"chr20"	49126891	49201299	74409	"+"	"PTPN1"	5770	"ENSG00000196396"
"3882"	"chr18"	12785477	12929642	144166	"-"	"PTPN2"	5771	"ENSG00000175354"
"3883"	"chr9"	112137746	112260590	122845	"-"	"PTPN3"	5774	"ENSG00000070159"
"3884"	"chr2"	120517207	120741394	224188	"+"	"PTPN4"	5775	"ENSG00000088179"
"3885"	"chr12"	7055631	7070479	14849	"+"	"PTPN6"	5777	"ENSG00000111679"
"3886"	"chr1"	202116141	202130716	14576	"-"	"PTPN7"	5778	"ENSG00000143851"
"3887"	"chr15"	75759462	75871630	112169	"-"	"PTPN9"	5780	"ENSG00000169410"
"3888"	"chr12"	112856155	112947717	91563	"+"	"PTPN11"	5781	"ENSG00000179295"
"3889"	"chr7"	77166592	77269388	102797	"+"	"PTPN12"	5782	"ENSG00000127947"
"3890"	"chr4"	87515468	87736324	220857	"+"	"PTPN13"	5783	"ENSG00000163629"
"3891"	"chr1"	214522039	214725792	203754	"-"	"PTPN14"	5784	"ENSG00000152104"
"3892"	"chr20"	2844830	3019722	174893	"+"	"PTPRA"	5786	"ENSG00000132670"
"3893"	"chr12"	70910630	71031220	120591	"-"	"PTPRB"	5787	"ENSG00000127329"
"3894"	"chr1"	198607801	198726545	118745	"+"	"PTPRC"	5788	"ENSG00000081237"
"3895"	"chr9"	8314246	10612723	2298478	"-"	"PTPRD"	5789	"ENSG00000153707"
"3896"	"chr11"	67202981	67205538	2558	"-"	"PTPRCAP"	5790	"ENSG00000213402"
"3897"	"chr10"	129705325	129884119	178795	"+"	"PTPRE"	5791	"ENSG00000132334"
"3898"	"chr1"	43990858	44089343	98486	"+"	"PTPRF"	5792	"ENSG00000142949"
"3899"	"chr3"	61547243	62283288	736046	"+"	"PTPRG"	5793	"ENSG00000144724"
"3900"	"chr19"	55692616	55720874	28259	"-"	"PTPRH"	5794	"ENSG00000080031"
"3901"	"chr11"	48002113	48189670	187558	"+"	"PTPRJ"	5795	"ENSG00000149177"
"3902"	"chr6"	128289924	128841870	551947	"-"	"PTPRK"	5796	"ENSG00000152894"
"3903"	"chr18"	7566780	8406859	840080	"+"	"PTPRM"	5797	"ENSG00000173482"
"3904"	"chr2"	220154345	220174370	20026	"-"	"PTPRN"	5798	"ENSG00000054356"
"3905"	"chr7"	157331750	158380480	1048731	"-"	"PTPRN2"	5799	"ENSG00000155093"
"3906"	"chr12"	15475331	15750333	275003	"+"	"PTPRO"	5800	"ENSG00000151490"
"3907"	"chr12"	71031853	71314623	282771	"-"	"PTPRR"	5801	"ENSG00000153233"
"3908"	"chr19"	5158506	5340814	182309	"-"	"PTPRS"	5802	"ENSG00000105426"
"3909"	"chr7"	121513143	121702090	188948	"+"	"PTPRZ1"	5803	"ENSG00000106278"
"3910"	"chr11"	112097088	112140678	43591	"+"	"PTS"	5805	"ENSG00000150787"
"3911"	"chr3"	157154578	157161417	6840	"+"	"PTX3"	5806	"ENSG00000163661"
"3912"	"chr5"	34905369	34919094	13726	"-"	"RAD1"	5810	"ENSG00000113456"
"3913"	"chr5"	139487362	139496321	8960	"+"	"PURA"	5813	"ENSG00000185129"
"3914"	"chr7"	44915896	44924960	9065	"-"	"PURB"	5814	"ENSG00000146676"
"3915"	"chr22"	37196728	37215523	18796	"-"	"PVALB"	5816	"ENSG00000100362"
"3916"	"chr19"	45147098	45166850	19753	"+"	"PVR"	5817	"ENSG00000073008"
"3917"	"chr11"	119494120	119599794	105675	"-"	"PVRL1"	5818	"ENSG00000110400"
"3918"	"chr19"	45349432	45392485	43054	"+"	"PVRL2"	5819	"ENSG00000130202"
"3919"	"chr8"	128806779	129113499	306721	"+"	"PVT1"	5820	"ENSG00000249859"
"3920"	"chr21"	45527171	45551063	23893	"+"	"PWP2"	5822	"ENSG00000241945"
"3921"	"chr1"	160246602	160256138	9537	"-"	"PEX19"	5824	"ENSG00000162735"
"3922"	"chr1"	94883933	94984222	100290	"+"	"ABCD3"	5825	"ENSG00000117528"
"3923"	"chr14"	74752126	74769759	17634	"-"	"ABCD4"	5826	"ENSG00000119688"
"3924"	"chr12"	133264192	133297276	33085	"+"	"PXMP2"	5827	"ENSG00000176894"
"3925"	"chr8"	77892494	77913280	20787	"-"	"PEX2"	5828	"ENSG00000164751"
"3926"	"chr12"	120648250	120703574	55325	"-"	"PXN"	5829	"ENSG00000089159"
"3927"	"chr12"	7341281	7371170	29890	"+"	"PEX5"	5830	"ENSG00000139197"
"3928"	"chr17"	79890260	79900288	10029	"-"	"PYCR1"	5831	"ENSG00000183010"
"3929"	"chr10"	97365696	97416463	50768	"-"	"ALDH18A1"	5832	"ENSG00000059573"
"3930"	"chr17"	79858841	79869340	10500	"-"	"PCYT2"	5833	"ENSG00000185813"
"3931"	"chr20"	25228705	25278650	49946	"+"	"PYGB"	5834	"ENSG00000100994"
"3932"	"chr14"	51324609	51411454	86846	"-"	"PYGL"	5836	"ENSG00000100504"
"3933"	"chr11"	64513861	64527769	13909	"-"	"PYGM"	5837	"ENSG00000068976"
"3934"	"chr12"	9301436	9360966	59531	"-"	"PZP"	5858	"ENSG00000126838"
"3935"	"chr3"	49133365	49142553	9189	"-"	"QARS"	5859	"ENSG00000172053"
"3936"	"chr4"	17461884	17513857	51974	"-"	"QDPR"	5860	"ENSG00000151552"
"3937"	"chr2"	65297835	65357240	59406	"-"	"RAB1A"	5861	"ENSG00000138069"
"3938"	"chr8"	61429416	61536186	106771	"+"	"RAB2A"	5862	"ENSG00000104388"
"3939"	"chr6"	33259431	33267101	7671	"-"	"RGL2"	5863	"ENSG00000237441"
"3940"	"chr19"	18307594	18314884	7291	"-"	"RAB3A"	5864	"ENSG00000105649"
"3941"	"chr1"	52373628	52456436	82809	"-"	"RAB3B"	5865	"ENSG00000169213"
"3942"	"chr11"	61664773	61687741	22969	"-"	"RAB3IL1"	5866	"ENSG00000167994"
"3943"	"chr1"	229406822	229441641	34820	"+"	"RAB4A"	5867	"ENSG00000168118"
"3944"	"chr3"	19988571	20026667	38097	"+"	"RAB5A"	5868	"ENSG00000144566"
"3945"	"chr12"	56367697	56388490	20794	"+"	"RAB5B"	5869	"ENSG00000111540"
"3946"	"chr11"	73386683	73472182	85500	"-"	"RAB6A"	5870	"ENSG00000175582"
"3947"	"chr11"	64556290	64570713	14424	"-"	"MAP4K2"	5871	"ENSG00000168067"
"3948"	"chr1"	153954127	153958834	4708	"-"	"RAB13"	5872	"ENSG00000143545"
"3949"	"chr15"	55495164	55611311	116148	"-"	"RAB27A"	5873	"ENSG00000069974"
"3950"	"chr18"	52385091	52562747	177657	"+"	"RAB27B"	5874	"ENSG00000041353"
"3951"	"chr14"	24734744	24740945	6202	"-"	"RABGGTA"	5875	"ENSG00000100949"
"3952"	"chr1"	76251879	76260764	8886	"+"	"RABGGTB"	5876	"ENSG00000137955"
"3953"	"chr1"	202848085	202858263	10179	"-"	"RABIF"	5877	"ENSG00000183155"
"3954"	"chr17"	40276994	40307035	30042	"-"	"RAB5C"	5878	"ENSG00000108774"
"3955"	"chr7"	6414154	6443608	29455	"+"	"RAC1"	5879	"ENSG00000136238"
"3956"	"chr22"	37621301	37640488	19188	"-"	"RAC2"	5880	"ENSG00000128340"
"3957"	"chr17"	79989500	79992080	2581	"+"	"RAC3"	5881	"ENSG00000169750"
"3958"	"chr11"	67159176	67165881	6706	"+"	"RAD9A"	5883	"ENSG00000172613"
"3959"	"chr5"	68665120	68710628	45509	"+"	"RAD17"	5884	"ENSG00000152942"
"3960"	"chr8"	117858174	117887105	28932	"-"	"RAD21"	5885	"ENSG00000164754"
"3961"	"chr19"	13056669	13064456	7788	"+"	"RAD23A"	5886	"ENSG00000179262"
"3962"	"chr9"	110045418	110094475	49058	"+"	"RAD23B"	5887	"ENSG00000119318"
"3963"	"chr15"	40986972	41024354	37383	"+"	"RAD51"	5888	"ENSG00000051180"
"3964"	"chr17"	56769934	56811703	41770	"+"	"RAD51C"	5889	"ENSG00000108384"
"3965"	"chr14"	68286496	69196935	910440	"+"	"RAD51B"	5890	"ENSG00000182185"
"3966"	"chr14"	102690837	102771537	80701	"-"	"MOK"	5891	"ENSG00000080823"
"3967"	"chr17"	33426811	33448541	21731	"-"	"RAD51D"	5892	"ENSG00000185379"
"3968"	"chr12"	1021243	1099219	77977	"-"	"RAD52"	5893	"ENSG00000002016"
"3969"	"chr3"	12625100	12705725	80626	"-"	"RAF1"	5894	"ENSG00000132155"
"3970"	"chr11"	36532259	36614706	82448	"+"	"RAG1"	5896	"ENSG00000166349"
"3971"	"chr11"	36597124	36619829	22706	"-"	"RAG2"	5897	"ENSG00000175097"
"3972"	"chr7"	39663082	39747723	84642	"+"	"RALA"	5898	"ENSG00000006451"
"3973"	"chr2"	120997640	121052289	54650	"+"	"RALB"	5899	"ENSG00000144118"
"3974"	"chr9"	135973107	136039301	66195	"-"	"RALGDS"	5900	"ENSG00000160271"
"3975"	"chr12"	131356424	131362223	5800	"+"	"RAN"	5901	"ENSG00000132341"
"3976"	"chr22"	20103461	20114878	11418	"+"	"RANBP1"	5902	"ENSG00000099901"
"3977"	"chr2"	109335937	109402267	66331	"+"	"RANBP2"	5903	"ENSG00000153201"
"3978"	"chr22"	41641615	41682255	40641	"-"	"RANGAP1"	5905	"ENSG00000100401"
"3979"	"chr1"	112084840	112259313	174474	"+"	"RAP1A"	5906	"ENSG00000116473"
"3980"	"chr12"	69004619	69054372	49754	"+"	"RAP1B"	5908	"ENSG00000127314"
"3981"	"chr1"	21922708	21995801	73094	"-"	"RAP1GAP"	5909	"ENSG00000076864"
"3982"	"chr4"	99182535	99365012	182478	"+"	"RAP1GDS1"	5910	"ENSG00000138698"
"3983"	"chr13"	98086476	98121382	34907	"+"	"RAP2A"	5911	"ENSG00000125249"
"3984"	"chr3"	152880029	152886265	6237	"+"	"RAP2B"	5912	"ENSG00000181467"
"3985"	"chr11"	47459308	47470730	11423	"-"	"RAPSN"	5913	"ENSG00000165917"
"3986"	"chr17"	38465444	38513094	47651	"+"	"RARA"	5914	"ENSG00000131759"
"3987"	"chr3"	25215823	25639423	423601	"+"	"RARB"	5915	"ENSG00000077092"
"3988"	"chr12"	53604354	53626764	22411	"-"	"RARG"	5916	"ENSG00000172819"
"3989"	"chr5"	167913450	167946304	32855	"+"	"RARS"	5917	"ENSG00000113643"
"3990"	"chr3"	158414681	158450485	35805	"-"	"RARRES1"	5918	"ENSG00000118849"
"3991"	"chr7"	150035408	150038763	3356	"-"	"RARRES2"	5919	"ENSG00000106538"
"3992"	"chr11"	63304281	63313934	9654	"+"	"RARRES3"	5920	"ENSG00000133321"
"3993"	"chr5"	86563705	86687748	124044	"+"	"RASA1"	5921	"ENSG00000145715"
"3994"	"chr3"	141205889	141334184	128296	"+"	"RASA2"	5922	"ENSG00000155903"
"3995"	"chr15"	79252289	79383115	130827	"-"	"RASGRF1"	5923	"ENSG00000058335"
"3996"	"chr5"	80256491	80525975	269485	"+"	"RASGRF2"	5924	"ENSG00000113319"
"3997"	"chr13"	48877887	49056122	178236	"+"	"RB1"	5925	"ENSG00000139687"
"3998"	"chr14"	58765103	58840605	75503	"+"	"ARID4A"	5926	"ENSG00000032219"
"3999"	"chr12"	389295	498620	109326	"-"	"KDM5A"	5927	"ENSG00000073614"
"4000"	"chr1"	33116743	33151812	35070	"+"	"RBBP4"	5928	"ENSG00000162521"
"4001"	"chr1"	205055270	205091143	35874	"-"	"RBBP5"	5929	"ENSG00000117222"
"4002"	"chr16"	24549014	24584184	35171	"+"	"RBBP6"	5930	"ENSG00000122257"
"4003"	"chrX"	16857406	16888537	31132	"-"	"RBBP7"	5931	"ENSG00000102054"
"4004"	"chr18"	20378224	20606451	228228	"+"	"RBBP8"	5932	"ENSG00000101773"
"4005"	"chr20"	35624752	35724398	99647	"-"	"RBL1"	5933	"ENSG00000080839"
"4006"	"chr16"	53467889	53525561	57673	"+"	"RBL2"	5934	"ENSG00000103479"
"4007"	"chrX"	48432837	48437454	4618	"+"	"RBM3"	5935	"ENSG00000102317"
"4008"	"chr11"	66384097	66434153	50057	"+"	"RBM4"	5936	"ENSG00000173933"
"4009"	"chr2"	161128662	161350305	221644	"-"	"RBMS1"	5937	"ENSG00000153250"
"4010"	"chr12"	56915713	56984745	69033	"+"	"RBMS2"	5939	"ENSG00000076067"
"4011"	"chrY"	23673258	23711212	37955	"+"	"RBMY1A1"	5940	"ENSG00000234414"
"4012"	"chr3"	139236276	139258671	22396	"-"	"RBP1"	5947	"ENSG00000114115"
"4013"	"chr3"	139171726	139199589	27864	"-"	"RBP2"	5948	"ENSG00000114113"
"4014"	"chr10"	48381487	48390991	9505	"-"	"RBP3"	5949	"ENSG00000107618"
"4015"	"chr10"	95351444	95361501	10058	"-"	"RBP4"	5950	"ENSG00000138207"
"4016"	"chr11"	31833939	32127301	293363	"+"	"RCN1"	5954	"ENSG00000049449"
"4017"	"chr15"	77223960	77242601	18642	"+"	"RCN2"	5955	"ENSG00000117906"
"4018"	"chrX"	153409698	153424507	14810	"+"	"OPN1LW"	5956	"ENSG00000102076"
"4019"	"chr17"	9799637	9808938	9302	"-"	"RCVRN"	5957	"ENSG00000109047"
"4020"	"chr12"	56114151	56118489	4339	"+"	"RDH5"	5959	"ENSG00000135437"
"4021"	"chr6"	42664340	42690312	25973	"-"	"PRPH2"	5961	"ENSG00000112619"
"4022"	"chr11"	110045605	110167447	121843	"-"	"RDX"	5962	"ENSG00000137710"
"4023"	"chr12"	21621845	21654603	32759	"-"	"RECQL"	5965	"ENSG00000004700"
"4024"	"chr2"	61108656	61158745	50090	"+"	"REL"	5966	"ENSG00000162924"
"4025"	"chr2"	79347488	79350545	3058	"+"	"REG1A"	5967	"ENSG00000115386"
"4026"	"chr2"	79312156	79315145	2990	"-"	"REG1B"	5968	"ENSG00000172023"
"4027"	"chr11"	65421067	65430565	9499	"-"	"RELA"	5970	"ENSG00000173039"
"4028"	"chr19"	45504688	45541452	36765	"+"	"RELB"	5971	"ENSG00000104856"
"4029"	"chr1"	204123944	204135465	11522	"-"	"REN"	5972	"ENSG00000143839"
"4030"	"chrX"	153200716	153210232	9517	"-"	"RENBP"	5973	"ENSG00000102032"
"4031"	"chr19"	18942747	18979045	36299	"+"	"UPF1"	5976	"ENSG00000005007"
"4032"	"chr11"	65101225	65120720	19496	"+"	"DPF2"	5977	"ENSG00000133884"
"4033"	"chr4"	57774075	57802010	27936	"+"	"REST"	5978	"ENSG00000084093"
"4034"	"chr10"	43572475	43625799	53325	"+"	"RET"	5979	"ENSG00000165731"
"4035"	"chr6"	111620234	111804918	184685	"-"	"REV3L"	5980	"ENSG00000009413"
"4036"	"chr4"	39289076	39367995	78920	"-"	"RFC1"	5981	"ENSG00000035928"
"4037"	"chr7"	73645829	73668774	22946	"-"	"RFC2"	5982	"ENSG00000049541"
"4038"	"chr13"	34392186	34540695	148510	"+"	"RFC3"	5983	"ENSG00000133119"
"4039"	"chr3"	186507669	186524847	17179	"-"	"RFC4"	5984	"ENSG00000163918"
"4040"	"chr12"	118451393	118470935	19543	"+"	"RFC5"	5985	"ENSG00000111445"
"4041"	"chr17"	80005778	80009707	3930	"-"	"RFNG"	5986	"ENSG00000169733"
"4042"	"chr6"	28870779	28891766	20988	"-"	"TRIM27"	5987	"ENSG00000204713"
"4043"	"chr22"	29834572	29838444	3873	"+"	"RFPL1"	5988	"ENSG00000128250"
"4044"	"chr19"	14072350	14117851	45502	"-"	"RFX1"	5989	"ENSG00000132005"
"4045"	"chr19"	5993175	6199583	206409	"-"	"RFX2"	5990	"ENSG00000087903"
"4046"	"chr9"	3218297	3526004	307708	"-"	"RFX3"	5991	"ENSG00000080298"
"4047"	"chr12"	106976685	107156581	179897	"+"	"RFX4"	5992	"ENSG00000111783"
"4048"	"chr1"	151313116	151319833	6718	"-"	"RFX5"	5993	"ENSG00000143390"
"4049"	"chr13"	37393361	37403241	9881	"+"	"RFXAP"	5994	"ENSG00000133111"
"4050"	"chr10"	86004809	86019716	14908	"+"	"RGR"	5995	"ENSG00000148604"
"4051"	"chr1"	192544857	192549161	4305	"+"	"RGS1"	5996	"ENSG00000090104"
"4052"	"chr1"	192778169	192781403	3235	"+"	"RGS2"	5997	"ENSG00000116741"
"4053"	"chr9"	116207011	116360018	153008	"+"	"RGS3"	5998	"ENSG00000138835"
"4054"	"chr1"	163038565	163046592	8028	"+"	"RGS4"	5999	"ENSG00000117152"
"4055"	"chr1"	240931554	241520530	588977	"-"	"RGS7"	6000	"ENSG00000182901"
"4056"	"chr10"	121259340	121302220	42881	"-"	"RGS10"	6001	"ENSG00000148908"
"4057"	"chr4"	3294755	3441640	146886	"+"	"RGS12"	6002	"ENSG00000159788"
"4058"	"chr1"	192605275	192629390	24116	"+"	"RGS13"	6003	"ENSG00000127074"
"4059"	"chr1"	182567758	182573543	5786	"-"	"RGS16"	6004	"ENSG00000143333"
"4060"	"chr6"	49572871	49604552	31682	"-"	"RHAG"	6005	"ENSG00000112077"
"4061"	"chr1"	25688740	25756683	67944	"-"	"RHCE"	6006	"ENSG00000188672"
"4062"	"chr1"	25598884	25656936	58053	"+"	"RHD"	6007	"ENSG00000187010"
"4063"	"chr7"	151163098	151217206	54109	"-"	"RHEB"	6009	"ENSG00000106615"
"4064"	"chr3"	129247483	129254012	6530	"+"	"RHO"	6010	"ENSG00000163914"
"4065"	"chr13"	114321470	114440708	119239	"+"	"GRK1"	6011	"ENSG00000185974"
"4066"	"chr9"	5334969	5339873	4905	"-"	"RLN1"	6013	"ENSG00000107018"
"4067"	"chr18"	40323192	40695657	372466	"-"	"RIT2"	6014	"ENSG00000152214"
"4068"	"chr6"	33176272	33180499	4228	"+"	"RING1"	6015	"ENSG00000204227"
"4069"	"chr1"	155867599	155881195	13597	"-"	"RIT1"	6016	"ENSG00000143622"
"4070"	"chr15"	89753100	89764982	11883	"-"	"RLBP1"	6017	"ENSG00000140522"
"4071"	"chr1"	40627045	40706593	79549	"+"	"RLF"	6018	"ENSG00000117000"
"4072"	"chr9"	5299868	5304969	5102	"-"	"RLN2"	6019	"ENSG00000107014"
"4073"	"chr9"	35657748	35658015	268	"-"	"RMRP"	6023	"ENSG00000269900"
"4074"	"chr14"	21269387	21271437	2051	"-"	"RNASE1"	6035	"ENSG00000129538"
"4075"	"chr14"	21423611	21424595	985	"+"	"RNASE2"	6036	"ENSG00000169385"
"4076"	"chr14"	21359558	21360507	950	"+"	"RNASE3"	6037	"ENSG00000169397"
"4077"	"chr14"	21152259	21168761	16503	"+"	"RNASE4"	6038	"ENSG00000258818"
"4078"	"chr14"	21249210	21250626	1417	"+"	"RNASE6"	6039	"ENSG00000169413"
"4079"	"chr1"	182542769	182558391	15623	"-"	"RNASEL"	6041	"ENSG00000135828"
"4080"	"chr3"	186500994	186507689	6696	"+"	"EIF4A2"	6043	"ENSG00000156976"
"4081"	"chr3"	39448180	39454033	5854	"+"	"RPSA"	6044	"ENSG00000168028"
"4082"	"chr1"	185014496	185071740	57245	"+"	"RNF2"	6045	"ENSG00000121481"
"4083"	"chr6"	32936437	32949282	12846	"+"	"BRD2"	6046	"ENSG00000204256"
"4084"	"chr4"	2463947	2627047	163101	"+"	"RNF4"	6047	"ENSG00000063978"
"4085"	"chr6"	32146131	32151930	5800	"+"	"RNF5"	6048	"ENSG00000204308"
"4086"	"chr13"	26706253	26796791	90539	"-"	"RNF6"	6049	"ENSG00000127870"
"4087"	"chr11"	494512	507300	12789	"-"	"RNH1"	6050	"ENSG00000023191"
"4088"	"chr1"	201951500	201975275	23776	"+"	"RNPEP"	6051	"ENSG00000176393"
"4089"	"chr4"	146019084	146050331	31248	"+"	"ABCE1"	6059	"ENSG00000164163"
"4090"	"chr11"	75111435	75111582	148	"+"	"SNORD15A"	6079	"ENSG00000206941"
"4091"	"chr2"	232321155	232321234	80	"-"	"SNORD20"	6082	"ENSG00000207280"
"4092"	"chr1"	93302846	93302940	95	"+"	"SNORD21"	6083	"ENSG00000206680"
"4093"	"chr7"	148660407	148660502	96	"+"	"RNY4"	6086	"ENSG00000252316"
"4094"	"chr7"	148638580	148638658	79	"+"	"RNY5"	6090	"ENSG00000252310"
"4095"	"chr3"	78646390	79816965	1170576	"-"	"ROBO1"	6091	"ENSG00000169855"
"4096"	"chr3"	75955846	77699115	1743270	"+"	"ROBO2"	6092	"ENSG00000185008"
"4097"	"chr18"	18526867	18691812	164946	"-"	"ROCK1"	6093	"ENSG00000067900"
"4098"	"chr11"	62379194	62382592	3399	"+"	"ROM1"	6094	"ENSG00000149489"
"4099"	"chr15"	60780483	61521518	741036	"-"	"RORA"	6095	"ENSG00000069667"
"4100"	"chr9"	77112281	77308093	195813	"+"	"RORB"	6096	"ENSG00000198963"
"4101"	"chr1"	151778547	151804348	25802	"-"	"RORC"	6097	"ENSG00000143365"
"4102"	"chr6"	117609463	117747018	137556	"-"	"ROS1"	6098	"ENSG00000047936"
"4103"	"chr7"	33134409	33149013	14605	"-"	"RP9"	6100	"ENSG00000164610"
"4104"	"chr8"	55528627	55543394	14768	"+"	"RP1"	6101	"ENSG00000104237"
"4105"	"chrX"	46696375	46741793	45419	"+"	"RP2"	6102	"ENSG00000102218"
"4106"	"chrX"	38128416	38186817	58402	"-"	"RPGR"	6103	"ENSG00000156313"
"4107"	"chr17"	1732996	1803376	70381	"+"	"RPA1"	6117	"ENSG00000132383"
"4108"	"chr1"	28218035	28241257	23223	"-"	"RPA2"	6118	"ENSG00000117748"
"4109"	"chr7"	7676149	7758238	82090	"-"	"RPA3"	6119	"ENSG00000106399"
"4110"	"chr2"	210867289	210886300	19012	"+"	"RPE"	6120	"ENSG00000197713"
"4111"	"chr1"	68894505	68915642	21138	"-"	"RPE65"	6121	"ENSG00000116745"
"4112"	"chr22"	39708887	39716394	7508	"-"	"RPL3"	6122	"ENSG00000100316"
"4113"	"chr16"	1993975	2007607	13633	"-"	"RPL3L"	6123	"ENSG00000140986"
"4114"	"chr15"	66790355	66816870	26516	"-"	"RPL4"	6124	"ENSG00000174444"
"4115"	"chr1"	93297582	93307481	9900	"+"	"RPL5"	6125	"ENSG00000122406"
